id,label1,label2
911,化学,材料・応用物理
912,化学,材料・応用物理
913,機械,電気
914,材料・応用物理,化学
915,化学,材料・応用物理
916,材料・応用物理,機械
917,電子・情報通信,材料・応用物理
918,材料・応用物理,化学
919,化学,材料・応用物理
920,化学,材料・応用物理
921,化学,材料・応用物理
922,化学,材料・応用物理
923,化学,材料・応用物理
924,化学,材料・応用物理
925,化学,材料・応用物理
926,材料・応用物理,化学
927,化学,材料・応用物理
928,機械,人工知能
929,機械,電気
930,材料・応用物理,化学
931,機械,化学
932,材料・応用物理,化学
933,電子・情報通信,人工知能
934,材料・応用物理,化学
935,化学,材料・応用物理
936,材料・応用物理,化学
937,材料・応用物理,化学
938,材料・応用物理,化学
939,化学,電子・情報通信
940,化学,材料・応用物理
941,化学,材料・応用物理
942,化学,材料・応用物理
943,化学,材料・応用物理
944,化学,材料・応用物理
945,材料・応用物理,化学
946,材料・応用物理,化学
947,材料・応用物理,化学
948,化学,材料・応用物理
949,化学,材料・応用物理
950,化学,人工知能
951,化学,人工知能
952,化学,材料・応用物理
953,材料・応用物理,化学
954,情報処理,電子・情報通信
955,材料・応用物理,人工知能
956,材料・応用物理,化学
957,化学,材料・応用物理
958,材料・応用物理,化学
959,化学,材料・応用物理
960,材料・応用物理,人工知能
961,材料・応用物理,化学
962,材料・応用物理,人工知能
963,材料・応用物理,化学
964,材料・応用物理,化学
965,材料・応用物理,化学
966,材料・応用物理,化学
967,人工知能,機械
968,材料・応用物理,化学
969,材料・応用物理,化学
970,化学,材料・応用物理
971,材料・応用物理,人工知能
972,人工知能,化学
973,化学,材料・応用物理
974,化学,材料・応用物理
975,化学,材料・応用物理
976,化学,材料・応用物理
977,化学,材料・応用物理
978,化学,材料・応用物理
979,化学,材料・応用物理
980,化学,材料・応用物理
981,化学,材料・応用物理
982,化学,材料・応用物理
983,化学,材料・応用物理
984,材料・応用物理,化学
985,化学,材料・応用物理
986,化学,材料・応用物理
987,化学,材料・応用物理
988,化学,材料・応用物理
989,化学,材料・応用物理
990,情報処理,電子・情報通信
991,材料・応用物理,化学
992,材料・応用物理,化学
993,材料・応用物理,化学
994,材料・応用物理,化学
995,材料・応用物理,化学
996,材料・応用物理,化学
997,材料・応用物理,化学
998,材料・応用物理,化学
999,材料・応用物理,化学
1000,化学,材料・応用物理
1001,化学,材料・応用物理
1002,化学,人工知能
1003,化学,材料・応用物理
1004,化学,材料・応用物理
1005,材料・応用物理,化学
1006,材料・応用物理,化学
1007,材料・応用物理,化学
1008,化学,材料・応用物理
1009,材料・応用物理,化学
1010,材料・応用物理,化学
1011,化学,材料・応用物理
1012,化学,材料・応用物理
1013,化学,材料・応用物理
1014,化学,材料・応用物理
1015,材料・応用物理,化学
1016,機械,材料・応用物理
1017,機械,人工知能
1018,材料・応用物理,化学
1019,化学,材料・応用物理
1020,化学,材料・応用物理
1021,材料・応用物理,化学
1022,化学,材料・応用物理
1023,材料・応用物理,化学
1024,化学,材料・応用物理
1025,材料・応用物理,化学
1026,材料・応用物理,化学
1027,材料・応用物理,化学
1028,材料・応用物理,化学
1029,化学,材料・応用物理
1030,化学,材料・応用物理
1031,化学,材料・応用物理
1032,化学,材料・応用物理
1033,化学,材料・応用物理
1034,化学,材料・応用物理
1035,化学,材料・応用物理
1036,化学,材料・応用物理
1037,化学,材料・応用物理
1038,材料・応用物理,人工知能
1039,化学,材料・応用物理
1040,化学,材料・応用物理
1041,化学,材料・応用物理
1042,化学,材料・応用物理
1043,化学,材料・応用物理
1044,材料・応用物理,化学
1045,化学,材料・応用物理
1046,化学,材料・応用物理
1047,材料・応用物理,化学
1048,化学,材料・応用物理
1049,材料・応用物理,化学
